DATE,COUNT
2020-01-11 00:30:00,2
2020-01-11 00:45:00,1
2020-01-11 01:00:00,2
2020-01-11 01:15:00,4
2020-01-11 01:30:00,3
2020-01-11 01:45:00,1
2020-01-11 02:00:00,4
2020-01-11 02:15:00,6
2020-01-11 02:30:00,4
2020-01-11 02:45:00,6
2020-01-11 03:00:00,4
2020-01-11 03:15:00,1
2020-01-11 03:30:00,8
2020-01-11 03:45:00,15
2020-01-11 04:00:00,18
2020-01-11 04:15:00,16
2020-01-11 04:30:00,25
2020-01-11 04:45:00,22
2020-01-11 05:00:00,31
2020-01-11 05:30:00,16
2020-01-11 05:45:00,20
2020-01-11 06:00:00,10
2020-01-11 06:15:00,23
2020-01-11 06:30:00,12
2020-01-11 06:45:00,12
2020-01-11 07:00:00,18
2020-01-11 07:15:00,9
2020-01-11 07:30:00,9
2020-01-11 07:45:00,7
2020-01-11 08:00:00,2
2020-01-11 08:15:00,3
2020-01-11 08:30:00,15
2020-01-11 08:45:00,3
2020-01-11 09:00:00,1
2020-01-11 09:15:00,6
2020-01-11 09:30:00,1
2020-01-11 09:45:00,8
2020-01-11 10:00:00,1
2020-01-11 10:15:00,2
2020-01-11 10:30:00,4
2020-01-11 10:45:00,3
2020-01-11 11:00:00,2
2020-01-11 11:15:00,1
2020-01-11 11:30:00,1
2020-01-11 11:45:00,9
2020-01-11 12:00:00,2
2020-01-11 12:15:00,6
2020-01-11 12:30:00,6
2020-01-11 12:45:00,3
2020-01-11 13:00:00,5
2020-01-11 13:15:00,4
2020-01-11 13:30:00,2
2020-01-11 13:45:00,5
2020-01-11 14:00:00,4
2020-01-11 14:30:00,2
2020-01-11 14:45:00,1
2020-01-11 15:00:00,1
2020-01-11 15:15:00,4
2020-01-11 15:30:00,2
2020-01-11 15:45:00,2
2020-01-11 16:00:00,3
2020-01-11 16:15:00,1
2020-01-11 16:30:00,1
2020-01-11 16:45:00,2
2020-01-11 17:00:00,1
2020-01-11 17:15:00,5
2020-01-11 17:30:00,3
2020-01-11 17:45:00,1
2020-01-11 18:00:00,1
2020-01-11 18:15:00,3
2020-01-11 18:30:00,1
2020-01-11 18:45:00,2
2020-01-11 19:00:00,1
2020-01-11 19:15:00,2
2020-01-11 19:30:00,1
2020-01-11 19:45:00,3
2020-01-11 20:00:00,2
2020-01-11 20:15:00,6
2020-01-11 20:30:00,2
2020-01-11 21:45:00,1
2020-01-11 22:15:00,1
2020-01-11 22:30:00,3
2020-01-11 23:00:00,2
2020-01-11 23:15:00,1
2020-01-11 23:30:00,1
2020-01-11 23:45:00,1
2020-01-12 00:45:00,2
2020-01-12 01:00:00,2
2020-01-12 01:45:00,1
2020-01-12 02:15:00,3
2020-01-12 04:00:00,2
2020-01-12 04:30:00,1
2020-01-12 04:45:00,1
2020-01-12 05:00:00,1
2020-01-12 05:15:00,1
2020-01-12 05:30:00,1
2020-01-12 05:45:00,1
2020-01-12 06:00:00,1
2020-01-12 06:15:00,4
2020-01-12 07:00:00,2
2020-01-12 07:15:00,1
2020-01-12 07:45:00,2
2020-01-12 08:00:00,1
2020-01-12 08:30:00,1
2020-01-12 08:45:00,2
2020-01-12 09:45:00,1
2020-01-12 10:00:00,1
2020-01-12 10:15:00,2
2020-01-12 10:30:00,2
2020-01-12 10:45:00,2
2020-01-12 11:00:00,3
2020-01-12 11:15:00,2
2020-01-12 11:30:00,1
2020-01-12 11:45:00,1
2020-01-12 12:30:00,2
2020-01-12 12:45:00,3
2020-01-12 13:00:00,1
2020-01-12 13:15:00,2
2020-01-12 13:30:00,4
2020-01-12 13:45:00,1
2020-01-12 14:15:00,1
2020-01-12 15:00:00,2
2020-01-12 15:30:00,1
2020-01-12 17:00:00,1
2020-01-12 17:30:00,1
2020-01-12 18:15:00,2
2020-01-12 18:30:00,2
2020-01-12 18:45:00,4
2020-01-12 19:15:00,1
2020-01-12 20:00:00,2
2020-01-12 20:15:00,2
2020-01-12 20:45:00,4
2020-01-12 21:00:00,2
2020-01-12 21:45:00,1
2020-01-12 22:15:00,1
2020-01-12 22:30:00,1
2020-01-12 22:45:00,1
2020-01-12 23:45:00,1
2020-01-13 00:00:00,2
2020-01-13 00:30:00,1
2020-01-13 01:00:00,2
2020-01-13 02:00:00,1
2020-01-13 02:15:00,1
2020-01-13 02:45:00,1
2020-01-13 03:00:00,1
2020-01-13 04:00:00,3
2020-01-13 04:45:00,1
2020-01-13 05:15:00,1
2020-01-13 05:30:00,5
2020-01-13 05:45:00,1
2020-01-13 06:00:00,1
2020-01-13 06:45:00,2
2020-01-13 07:15:00,3
2020-01-13 07:30:00,1
2020-01-13 08:00:00,1
2020-01-13 08:45:00,1
2020-01-13 09:00:00,1
2020-01-13 09:15:00,2
2020-01-13 09:30:00,1
2020-01-13 10:30:00,3
2020-01-13 10:45:00,1
2020-01-13 11:30:00,2
2020-01-13 11:45:00,3
2020-01-13 12:00:00,1
2020-01-13 12:15:00,1
2020-01-13 12:30:00,3
2020-01-13 12:45:00,2
2020-01-13 13:15:00,1
2020-01-13 13:30:00,3
2020-01-13 13:45:00,5
2020-01-13 14:00:00,6
2020-01-13 14:15:00,4
2020-01-13 14:30:00,4
2020-01-13 15:00:00,2
2020-01-13 15:15:00,4
2020-01-13 15:30:00,2
2020-01-13 15:45:00,4
2020-01-13 16:00:00,4
2020-01-13 16:30:00,8
2020-01-13 16:45:00,5
2020-01-13 17:00:00,4
2020-01-13 17:15:00,9
2020-01-13 17:45:00,2
2020-01-13 18:00:00,3
2020-01-13 18:15:00,3
2020-01-13 18:30:00,8
2020-01-13 18:45:00,4
2020-01-13 19:00:00,3
2020-01-13 19:15:00,2
2020-01-13 19:30:00,5
2020-01-13 19:45:00,3
2020-01-13 20:00:00,4
2020-01-13 20:30:00,5
2020-01-13 20:45:00,8
2020-01-13 21:00:00,3
2020-01-13 21:15:00,2
2020-01-13 21:30:00,3
2020-01-13 21:45:00,3
2020-01-13 22:00:00,2
2020-01-13 22:30:00,4
2020-01-13 23:15:00,3
2020-01-13 23:30:00,4
2020-01-13 23:45:00,9
2020-01-14 00:00:00,5
2020-01-14 00:15:00,9
2020-01-14 00:45:00,9
2020-01-14 01:00:00,9
2020-01-14 01:15:00,3
2020-01-14 01:45:00,5
2020-01-14 02:00:00,2
2020-01-14 02:15:00,8
2020-01-14 02:30:00,3
2020-01-14 02:45:00,5
2020-01-14 03:00:00,1
2020-01-14 03:15:00,3
2020-01-14 03:30:00,5
2020-01-14 03:45:00,3
2020-01-14 04:00:00,6
2020-01-14 04:15:00,3
2020-01-14 04:30:00,2
2020-01-14 04:45:00,4
2020-01-14 05:00:00,5
2020-01-14 05:15:00,2
2020-01-14 05:30:00,2
2020-01-14 05:45:00,1
2020-01-14 06:15:00,2
2020-01-14 06:30:00,2
2020-01-14 06:45:00,2
2020-01-14 07:00:00,1
2020-01-14 07:15:00,2
2020-01-14 07:45:00,2
2020-01-14 08:15:00,2
2020-01-14 08:30:00,1
2020-01-14 08:45:00,1
2020-01-14 09:30:00,1
2020-01-14 09:45:00,1
2020-01-14 10:15:00,1
2020-01-14 10:45:00,3
2020-01-14 11:00:00,2
2020-01-14 11:15:00,4
2020-01-14 11:30:00,1
2020-01-14 11:45:00,1
2020-01-14 12:00:00,3
2020-01-14 12:45:00,5
2020-01-14 13:00:00,7
2020-01-14 13:15:00,4
2020-01-14 13:30:00,1
2020-01-14 13:45:00,1
2020-01-14 14:00:00,3
2020-01-14 14:15:00,1
2020-01-14 14:30:00,4
2020-01-14 14:45:00,1
2020-01-14 15:00:00,3
2020-01-14 15:30:00,3
2020-01-14 15:45:00,3
2020-01-14 16:00:00,5
2020-01-14 16:15:00,1
2020-01-14 16:30:00,2
2020-01-14 16:45:00,2
2020-01-14 17:00:00,2
2020-01-14 17:15:00,5
2020-01-14 17:30:00,2
2020-01-14 18:00:00,1
2020-01-14 18:15:00,3
2020-01-14 18:45:00,1
2020-01-14 19:00:00,4
2020-01-14 19:15:00,1
2020-01-14 19:45:00,2
2020-01-14 20:15:00,1
2020-01-14 20:30:00,3
2020-01-14 20:45:00,6
2020-01-14 21:15:00,1
2020-01-14 21:30:00,2
2020-01-14 22:00:00,2
2020-01-14 22:15:00,1
2020-01-14 22:30:00,3
2020-01-14 22:45:00,4
2020-01-14 23:00:00,3
2020-01-14 23:30:00,2
2020-01-15 00:15:00,3
2020-01-15 00:30:00,3
2020-01-15 00:45:00,1
2020-01-15 01:00:00,1
2020-01-15 01:15:00,1
2020-01-15 01:30:00,2
2020-01-15 02:00:00,2
2020-01-15 02:15:00,2
2020-01-15 02:45:00,2
2020-01-15 03:00:00,4
2020-01-15 03:15:00,1
2020-01-15 03:30:00,2
2020-01-15 03:45:00,1
2020-01-15 04:00:00,6
2020-01-15 04:15:00,3
2020-01-15 04:30:00,1
2020-01-15 04:45:00,4
2020-01-15 05:00:00,2
2020-01-15 05:45:00,1
2020-01-15 06:00:00,1
2020-01-15 06:30:00,2
2020-01-15 06:45:00,3
2020-01-15 07:15:00,1
2020-01-15 07:30:00,2
2020-01-15 07:45:00,4
2020-01-15 08:00:00,4
2020-01-15 08:15:00,2
2020-01-15 08:30:00,6
2020-01-15 08:45:00,3
2020-01-15 09:15:00,1
2020-01-15 09:30:00,2
2020-01-15 09:45:00,5
2020-01-15 10:00:00,7
2020-01-15 10:15:00,9
2020-01-15 10:30:00,10
2020-01-15 10:45:00,7
2020-01-15 11:00:00,12
2020-01-15 11:15:00,7
2020-01-15 11:30:00,4
2020-01-15 11:45:00,9
2020-01-15 12:15:00,7
2020-01-15 12:30:00,7
2020-01-15 12:45:00,4
2020-01-15 13:00:00,1
2020-01-15 13:15:00,3
2020-01-15 13:30:00,5
2020-01-15 13:45:00,3
2020-01-15 14:00:00,4
2020-01-15 14:15:00,4
2020-01-15 14:30:00,4
2020-01-15 14:45:00,5
2020-01-15 15:15:00,3
2020-01-15 15:30:00,5
2020-01-15 15:45:00,1
2020-01-15 16:30:00,1
2020-01-15 17:00:00,2
2020-01-15 17:15:00,4
2020-01-15 17:30:00,5
2020-01-15 17:45:00,4
2020-01-15 18:00:00,1
2020-01-15 18:15:00,1
2020-01-15 18:45:00,3
2020-01-15 19:00:00,3
2020-01-15 19:15:00,2
2020-01-15 19:45:00,3
2020-01-15 20:00:00,2
2020-01-15 20:15:00,3
2020-01-15 20:30:00,3
2020-01-15 20:45:00,1
2020-01-15 21:00:00,3
2020-01-15 21:30:00,1
2020-01-15 22:00:00,3
2020-01-15 22:15:00,4
2020-01-15 22:30:00,3
2020-01-15 22:45:00,2
2020-01-15 23:00:00,4
2020-01-15 23:30:00,2
2020-01-15 23:45:00,1
2020-01-16 00:00:00,2
2020-01-16 00:15:00,2
2020-01-16 00:45:00,1
2020-01-16 01:15:00,6
2020-01-16 01:30:00,3
2020-01-16 01:45:00,2
2020-01-16 02:00:00,4
2020-01-16 02:15:00,6
2020-01-16 02:30:00,5
2020-01-16 02:45:00,3
2020-01-16 03:00:00,2
2020-01-16 03:15:00,5
2020-01-16 03:30:00,7
2020-01-16 03:45:00,2
2020-01-16 04:00:00,7
2020-01-16 04:15:00,2
2020-01-16 04:30:00,6
2020-01-16 04:45:00,4
2020-01-16 05:00:00,2
2020-01-16 05:15:00,4
2020-01-16 05:30:00,14
2020-01-16 05:45:00,15
2020-01-16 06:00:00,12
2020-01-16 06:15:00,6
2020-01-16 06:30:00,7
2020-01-16 06:45:00,5
2020-01-16 07:00:00,7
2020-01-16 07:15:00,3
2020-01-16 07:30:00,8
2020-01-16 07:45:00,10
2020-01-16 08:00:00,6
2020-01-16 08:15:00,5
2020-01-16 08:30:00,6
2020-01-16 08:45:00,3
2020-01-16 09:00:00,7
2020-01-16 09:15:00,1
2020-01-16 09:30:00,3
2020-01-16 09:45:00,6
